left_cluster,right_cluster,distance,member_count
135,137,0.000000000,2
136,140,0.000000000,2
138,142,0.000000000,2
141,144,0.000000000,2
143,151,0.000000000,2
145,146,0.000000000,2
147,148,0.000000000,2
149,155,0.000000000,2
150,153,0.000000000,2
152,154,0.000000000,2
156,157,0.000000000,2
158,183,0.000000000,3
159,160,0.000000000,2
161,179,0.000000000,3
178,181,0.000000000,4
180,190,0.000000000,4
182,191,0.000000000,5
184,185,0.000000000,4
186,192,0.000000000,6
188,189,0.000000000,5
195,197,0.000000000,9
26,27,0.125000000,2
60,66,0.200000000,2
67,69,0.200000000,2
70,200,0.200000000,3
201,202,0.200000000,5
62,68,0.250000000,2
28,32,0.320754717,2
25,199,0.333333333,3
61,203,0.400000000,6
204,207,0.433333333,8
63,64,0.500000000,2
65,209,0.500000000,3
139,187,0.500000000,3
193,194,0.500000000,9
196,198,0.500000000,15
211,212,0.500000000,12
213,214,0.500000000,27
93,94,0.529411765,2
208,210,0.575000000,11
31,33,0.602150538,2
103,104,0.612903226,2
123,124,0.627450980,2
173,174,0.637096774,2
110,111,0.650000000,2
97,99,0.666666667,2
22,87,0.673469388,2
75,76,0.680555556,2
105,220,0.692307692,3
6,14,0.700000000,2
34,44,0.700000000,2
43,107,0.734693878,2
224,227,0.740293678,4
166,221,0.748814042,3
4,88,0.750000000,2
81,162,0.750000000,2
90,230,0.750000000,5
225,229,0.756673059,4
35,226,0.757575758,4
206,217,0.759259259,14
19,24,0.761194030,2
5,12,0.765625000,2
11,128,0.766990291,2
170,171,0.771428571,2
236,238,0.773554104,6
8,119,0.776785714,2
10,233,0.776802657,3
20,45,0.791044776,2
73,74,0.793103448,2
127,234,0.793333333,6
106,218,0.794354839,3
89,113,0.796875000,2
239,244,0.798253676,5
130,131,0.798283262,2
17,39,0.800000000,2
117,176,0.800000000,2
3,78,0.802395210,2
242,250,0.802460402,11
167,169,0.808988764,2
83,91,0.810000000,2
247,255,0.810870919,17
165,231,0.813008130,4
9,245,0.813636364,3
116,126,0.817910448,2
42,82,0.818840580,2
54,246,0.819371728,3
252,258,0.819860297,19
38,216,0.820409982,3
29,248,0.822006472,4
2,235,0.823369565,5
243,266,0.824863140,6
41,121,0.825112108,2
57,118,0.826086957,2
129,251,0.826731396,3
46,254,0.826815642,3
240,257,0.828766937,4
260,262,0.831792638,5
7,85,0.833962264,2
18,264,0.835637751,20
122,249,0.835685484,3
95,272,0.840136054,4
268,276,0.840794554,26
21,228,0.841040462,3
53,125,0.842342342,2
80,269,0.842371467,3
273,274,0.844426929,9
37,282,0.847656250,4
59,168,0.847826087,2
261,281,0.848925825,4
23,175,0.850000000,2
259,279,0.851348934,30
277,278,0.851465962,7
15,132,0.854304636,2
283,288,0.854630899,39
120,263,0.855340012,4
280,289,0.855605024,10
16,237,0.857142857,15
13,100,0.857961054,2
284,293,0.861696214,14
253,294,0.861904762,17
286,296,0.862165862,18
267,291,0.862198959,44
79,292,0.863455219,5
71,270,0.863636364,3
275,298,0.864262734,20
98,295,0.866697086,3
114,115,0.868421053,2
30,302,0.873165775,21
40,299,0.873189822,45
290,300,0.874424689,7
241,256,0.875768497,4
305,307,0.876471254,28
84,265,0.879629630,4
271,309,0.879835574,31
51,304,0.882151030,3
50,133,0.882352941,2
164,301,0.885714286,4
92,232,0.886904762,3
96,311,0.889809109,32
55,77,0.890625000,2
109,316,0.890891878,33
306,318,0.899481765,78
58,219,0.903912148,3
134,315,0.904761905,4
36,223,0.909090909,3
312,314,0.912552496,7
56,320,0.914304334,4
102,177,0.918918919,2
323,325,0.922723274,9
285,308,0.923608413,6
72,313,0.927350427,3
324,326,0.935841650,13
317,328,0.937076696,5
287,297,0.942279412,19
205,330,0.943786716,7
310,329,0.943874647,17
47,327,0.947781603,7
332,333,0.952375478,24
101,322,0.953216374,4
172,334,0.954582055,8
303,319,0.956017163,81
48,49,0.958762887,2
321,338,0.959693822,85
163,335,0.964495319,25
337,341,0.967544331,33
331,336,0.969576153,23
86,112,0.971428571,2
52,342,0.974871450,34
0,1,0.977011494,2
339,345,0.978219727,36
222,347,0.985597601,38
344,348,0.986042579,40
343,349,0.989530116,63
346,350,0.996801277,65
108,351,0.999342578,66
215,340,1.000000000,112
352,353,1.000000000,178
