model,loss,n_runs,clean_or_legacy_runs,denied_runs,best_cer,median_cer,best_forgetting_ce,best_run,best_verdict,best_epoch,audit_best_cer,audit_best_forgetting_ce,audit_best_run,audit_best_verdict,audit_best_epoch,readout_window,conn_window,readout_source,rank_in_model,audit_rank_in_model
Qwen3-0.6B,vocab_fisher,1,0,1,0.0,0.0,1.978149,lw_o_fisher_0p6b_rag,DENY,25.0,0.0,1.978149,lw_o_fisher_0p6b_rag,DENY,25.0,4.0,0.0,UNSET,1.0,1.0
Qwen3-0.6B,huber,1,0,1,0.0003213367609254,0.0003213367609254,1.035761,lw_i_huber_0p6b_rag,DENY,35.0,0.0003213367609254,1.035761,lw_i_huber_0p6b_rag,DENY,35.0,4.0,0.0,UNSET,2.0,5.0
Qwen3-0.6B,cosine,1,0,1,0.049447612259444,0.049447612259444,1.570675,lw_i_cosine_0p6b_rag,DENY,33.0,0.049447612259444,1.570675,lw_i_cosine_0p6b_rag,DENY,33.0,4.0,0.0,UNSET,3.0,7.0
Qwen3-0.6B,nmse,24,9,14,0.4077216400149379,0.7355816989887309,0.333326,clean_combined_slide8_nmse_0p6b_rag,CONFIRM_CLEAN,35.0,0.0,0.231283,lw_s_slide8nmse_0p6b_rag,UNRESOLVED_PROVENANCE,21.0,8.0,8.0,teacher_kl,4.0,2.0
Qwen3-0.6B,vocab_mse,63,9,42,0.5000700036710404,0.0223832179930795,0.196736,clean_combined_slide8_vocab_0p6b_rag,CONFIRM_CLEAN,37.0,0.0,0.043776,lw_n_thinkwhole_0p6b_rag,DENY,23.0,8.0,8.0,teacher_kl,5.0,3.0
Qwen3-0.6B,zero,1,0,1,0.7393655462655371,0.7393655462655371,6.945318,lw_r_lensonly_0p6b_rag,DENY,33.0,0.7393655462655371,6.945318,lw_r_lensonly_0p6b_rag,DENY,33.0,0.0,0.0,UNSET,6.0,8.0
Qwen3-0.6B,lens_kl,4,2,1,0.7450449160514819,0.4260395477823031,1.32406,lw_i_lenskl_strict_0p6b_rag,CONFIRM_LEGACY_NAMED,23.0,0.0017688679245283,0.288824,lw_s_slide8lenskl_0p6b_rag,UNRESOLVED_PROVENANCE,35.0,0.0,0.0,UNSET,7.0,6.0
Qwen3-0.6B,l2mse,2,1,1,0.7579597257836718,0.3789798628918359,0.757579,lw_summed_l2mse_e40_0p6b_rag,CONFIRM_LEGACY_NAMED,13.0,0.0,1.656868,lw_i_l2mse_0p6b_rag,DENY,27.0,0.0,0.0,UNSET,8.0,4.0
Qwen3-1.7B,l2mse,1,0,1,0.0,0.0,1.149267,lw_j_l2mse_k4_1p7b_rag,DENY,23.0,0.0,1.149267,lw_j_l2mse_k4_1p7b_rag,DENY,23.0,4.0,0.0,UNSET,1.0,1.0
Qwen3-1.7B,vocab_mse,14,3,10,0.3109517672992363,0.06574453551912565,0.187619,clean_combined_slide8_vocab_1p7b_rag,CONFIRM_CLEAN,25.0,0.0,0.150995,lw_n_thinksel_1p7b_rag,DENY,37.0,8.0,8.0,teacher_kl,2.0,2.0
Qwen3-1.7B,vocab_fisher,1,0,1,0.5410736651471937,0.5410736651471937,1.681555,xs_fisher_1p7b_rag,DENY,29.0,0.5410736651471937,1.681555,xs_fisher_1p7b_rag,DENY,29.0,4.0,0.0,teacher_kl,3.0,3.0
Qwen3-1.7B,nmse,1,1,0,0.9273034583444126,0.9273034583444126,0.604049,lw_seq_1p7b_rag,CONFIRM_LEGACY_NAMED,,0.9273034583444126,0.604049,lw_seq_1p7b_rag,CONFIRM_LEGACY_NAMED,,0.0,0.0,UNSET,4.0,4.0
Qwen3-4B,vocab_mse,10,3,7,0.5386238595691409,0.3010297659028926,0.343894,clean_machado_slide8_vocab_4b_lora,CONFIRM_CLEAN,27.0,0.0,0.274329,lw_l_tailonly_4b_rag,DENY,13.0,8.0,8.0,teacher_kl,1.0,1.0
Qwen3-8B,vocab_mse,6,3,3,0.6733031195005414,0.6804500490266513,0.172162,clean_combined_slide8_vocab_8b_lora,CONFIRM_CLEAN,27.0,0.1184947299077733,0.386362,lw_l_final_8b_rag,DENY,39.0,8.0,8.0,teacher_kl,1.0,1.0
Qwen3-14B,vocab_mse,4,3,1,0.5515932516046496,0.590026236096117,0.216266,clean_machado_slide8_vocab_14b_lora,CONFIRM_CLEAN,29.0,0.0837264150943396,0.543518,lw_l_final_14b_rag,DENY,39.0,8.0,8.0,teacher_kl,1.0,1.0
Qwen3-14B,nmse,1,1,0,0.8105891116885265,0.8105891116885265,0.10368,lw_tc_lora_14b_rag,CONFIRM_LEGACY_NAMED,7.0,0.8105891116885265,0.10368,lw_tc_lora_14b_rag,CONFIRM_LEGACY_NAMED,7.0,0.0,0.0,UNSET,2.0,2.0
Mistral-7B,vocab_mse,1,0,1,0.0,0.0,0.80339,lw_j_mistral7b_rag,DENY,29.0,0.0,0.80339,lw_j_mistral7b_rag,DENY,29.0,4.0,0.0,UNSET,1.0,1.0
gpt-oss-20B,vocab_mse,1,0,1,1.0148958713055842,1.0148958713055842,1.54632,lw_k_gptoss_rag,DENY,13.0,1.0148958713055842,1.54632,lw_k_gptoss_rag,DENY,13.0,2.0,0.0,UNSET,1.0,1.0
